dataset,original_name,mapping_name
GIST,66.0_C07_Samsung-Env-Bldg.csv,01_66.0_C07_Samsung-Env-Bldg.csv
GIST,37.4_C09_Dasan.csv,02_37.4_C09_Dasan.csv
GIST,69.6_C10_Renewable-E-Bldg.csv,03_69.6_C10_Renewable-E-Bldg.csv
GIST,122.5_C11_GAIA.csv,04_122.5_C11_GAIA.csv
GIST,76.8_E02_Animal-Recource-Center.csv,05_76.8_E02_Animal-Recource-Center.csv
GIST,133.1_E03_GTI.csv,06_133.1_E03_GTI.csv
GIST,220.1_E8_Natural-Science-Bldg.csv,07_220.1_E8_Natural-Science-Bldg.csv
GIST,27.7_E11_DormA.csv,08_27.7_E11_DormA.csv
GIST,52.1_E12_DormB.csv,09_52.1_E12_DormB.csv
GIST,29.9_N01_Central-Library.csv,10_29.9_N01_Central-Library.csv
GIST,45.8_N02_LG-Library.csv,11_45.8_N02_LG-Library.csv
GIST,14.9_N06_College-Bldg.csv,12_14.9_N06_College-Bldg.csv
GIST,48.2_W06_Student-Union.csv,13_48.2_W06_Student-Union.csv
GIST,127.9_W11_Facility-Maintenance-Bldg.csv,14_127.9_W11_Facility-Maintenance-Bldg.csv
GIST,33.7_W13_Centeral-Storage.csv,15_33.7_W13_Centeral-Storage.csv
GIST,164.1_Soccer-Field.csv,16_164.1_Soccer-Field.csv
German,4.75_DE_KN_industrial1_pv_1.csv,01_4.75_DE_KN_industrial1_pv_1.csv
German,4.170000000000073_DE_KN_industrial1_pv_2.csv,02_4.170000000000073_DE_KN_industrial1_pv_2.csv
German,14.599999999998545_DE_KN_industrial2_pv.csv,03_14.599999999998545_DE_KN_industrial2_pv.csv
German,6.055000000000291_DE_KN_industrial3_pv_facade.csv,04_6.055000000000291_DE_KN_industrial3_pv_facade.csv
German,11.100999999998749_DE_KN_industrial3_pv_roof.csv,05_11.100999999998749_DE_KN_industrial3_pv_roof.csv
German,8.197000000000116_DE_KN_residential1_pv.csv,06_8.197000000000116_DE_KN_residential1_pv.csv
German,3.845999999999549_DE_KN_residential3_pv.csv,07_3.845999999999549_DE_KN_residential3_pv.csv
German,8.784999999999854_DE_KN_residential4_pv.csv,08_8.784999999999854_DE_KN_residential4_pv.csv
German,7.64600000000064_DE_KN_residential6_pv.csv,09_7.64600000000064_DE_KN_residential6_pv.csv
